Title,Year,Rating,Votes,Genres
The Apartment,1960,8.3,211974,"Comedy, Drama, Romance"
Lawrence of Arabia,1962,8.3,333112,"Adventure, Biography, Drama"
2001: A Space Odyssey,1968,8.3,762772,"Adventure, Sci-Fi"
Reservoir Dogs,1992,8.3,1144775,"Crime, Thriller"
Scarface,1983,8.3,982673,"Crime, Drama"
Heat,1995,8.3,772012,"Action, Crime, Drama"
Double Indemnity,1944,8.3,176727,"Crime, Drama, Film-Noir"
North by Northwest,1959,8.3,363571,"Adventure, Drama, Mystery"
Up,2009,8.3,1199522,"Animation, Adventure, Comedy"
M - Eine Stadt sucht einen Mörder,1931,8.3,179001,"Crime, Mystery, Thriller"
Citizen Kane,1941,8.2,485754,"Drama, Mystery"
Full Metal Jacket,1987,8.2,831723,"Drama, War"
Vertigo,1958,8.2,450140,"Mystery, Romance, Thriller"
Le fabuleux destin d'Amélie Poulain,2001,8.3,825053,"Comedy, Romance"
Taare Zameen Par,2007,8.3,223688,"Drama, Family"
Jodaeiye Nader Az Simin,2011,8.3,272346,Drama
To Kill a Mockingbird,1962,8.3,345989,"Crime, Drama"
Die Hard,1988,8.2,1000021,"Action, Thriller"
Indiana Jones and the Last Crusade,1989,8.2,847017,"Action, Adventure"
The Sting,1973,8.2,293045,"Comedy, Crime, Drama"
A Clockwork Orange,1971,8.2,919696,"Crime, Sci-Fi"
Metropolis,1927,8.3,196602,"Drama, Sci-Fi"
Oppenheimer,2023,8.3,933580,"Biography, Drama, History"
Snatch,2000,8.2,955558,"Comedy, Crime"
1917,2019,8.2,741885,"Action, Drama, War"
L.A. Confidential,1997,8.2,647110,"Crime, Drama, Mystery"
Ladri Di Biciclette,1948,8.2,188020,Drama
Der Untergang,2004,8.2,392546,"Biography, Drama, History"
Dangal,2016,8.3,231592,"Action, Biography, Drama"
The Wolf of Wall Street,2013,8.2,1716467,"Biography, Comedy, Crime"
Hababam Sinifi: Sinifta Kaldi,1975,8.6,28055,Comedy
Green Book,2018,8.2,651728,"Biography, Comedy, Drama"
The Truman Show,1998,8.2,1311951,"Comedy, Drama"
Hamilton,2020,8.3,131724,"Biography, Drama, History"
Taxi Driver,1976,8.2,994096,"Crime, Drama"
Batman Begins,2005,8.2,1668342,"Action, Crime, Drama"
Per qualche dollaro in più,1965,8.2,292834,"Drama, Western"
Judgment at Nuremberg,1961,8.3,93428,"Drama, History, War"
Shutter Island,2010,8.2,1577388,"Drama, Mystery, Thriller"
Some Like It Hot,1959,8.2,298539,"Comedy, Music, Romance"
Jurassic Park,1993,8.2,1142482,"Action, Adventure, Sci-Fi"
The Kid,1921,8.2,142844,"Comedy, Drama, Family"
The Father,2020,8.2,218581,"Drama, Mystery"
All About Eve,1950,8.2,146372,Drama
There Will Be Blood,2007,8.2,681480,Drama
The Sixth Sense,1999,8.2,1112752,"Drama, Mystery, Thriller"
Ran,1985,8.2,146623,"Action, Drama, War"
Casino,1995,8.2,601023,"Crime, Drama"
